Jahr,Arbeitslosenquote (%),Registrierte Arbeitslose (Anzahl),Quelle
1920,0.613,11539.5,HSSO F.18a
1921,3.018,58466,HSSO F.18a
1922,3.431,66995,HSSO F.18a
1923,1.693,32605,HSSO F.18a
1924,0.767,14692,HSSO F.18a
1925,0.578,11090,HSSO F.18a
1926,0.732,14118,HSSO F.18a
1927,0.612,11824,HSSO F.18a
1928,0.433,8380,HSSO F.18a
1929,0.418,8131,HSSO F.18a
1930,0.659,12881,HSSO F.18a
1931,1.228,24208,HSSO F.18a
1932,2.71,54366,HSSO F.18a
1933,3.353,67867,HSSO F.18a
1934,3.23,65440,HSSO F.18a
1935,4.027,82468,HSSO F.18a
1936,4.509,93009,HSSO F.18a
1937,3.477,71130,HSSO F.18a
1938,3.208,65583,HSSO F.18a
1939,1.993,40324,HSSO F.18a
1940,0.817,16374,HSSO F.18a
1941,0.527,10550,HSSO F.18a
1942,0.528,10675,HSSO F.18a
1943,0.385,7846,HSSO F.18a
1944,0.408,8380,HSSO F.18a
1945,0.391,8107,HSSO F.18a
1946,0.262,5479,HSSO F.18a
1947,0.194,4093,HSSO F.18a
1948,0.166,3524,HSSO F.18a
1949,0.427,9172,HSSO F.18a
1950,0.494,10709,HSSO F.18a
1951,0.205,4500,HSSO F.18a
1952,0.271,6062,HSSO F.18a
1953,0.256,5800,HSSO F.18a
1954,0.223,5127,HSSO F.18a
1955,0.143,3342,HSSO F.18a
1956,0.15,3560,HSSO F.18a
1957,0.105,2527,HSSO F.18a
1958,0.166,4048,HSSO F.18a
1959,0.126,3128,HSSO F.18a
1960,0.067,1690,HSSO F.18a
1961,0.038,975,HSSO F.18a
1962,0.032,832,HSSO F.18a
1963,0.038,1014,HSSO F.18a
1964,0.016,441,HSSO F.18a
1965,0.017,473,HSSO F.18a
1966,0.018,503,HSSO F.18a
1967,0.017,488,HSSO F.18a
1968,0.018,519,HSSO F.18a
1969,0.012,343,HSSO F.18a
1970,0.007,219,HSSO F.18a
1971,0.007,199,HSSO F.18a
1972,0.007,221,HSSO F.18a
1973,0.006,183,HSSO F.18a
1974,0.012,365,HSSO F.18a
1975,0.364,11111,HSSO F.18a
1976,0.707,21732,HSSO F.18a
1977,0.422,12973,HSSO F.18a
1978,0.382,11777,HSSO F.18a
1979,0.37,11449,HSSO F.18a
1980,0.234,7241,HSSO F.18a
1981,0.23,7261,HSSO F.18a
1982,0.481,15486,HSSO F.18a
1983,0.931,30639,HSSO F.18a
1984,1.136,38133,HSSO F.18a
1985,0.972,33105,HSSO F.18a
1986,0.812,28082,HSSO F.18a
1987,0.802,28179,HSSO F.18a
1988,0.682,24334,HSSO F.18a
1989,0.482,17452,HSSO F.18a
1990,0.493,18133,HSSO F.18a
1991,1.061,39222,HSSO F.18a
1992,2.462,92307,HSSO F.18a
1993,4.271,163135,HSSO F.18a
1994,4.469,171038,HSSO F.18a
1995,4.024,153316,HSSO F.18a
1996,4.656,168629.9,SNB amarbma (SECO)
1997,5.199,188304.2,SNB amarbma (SECO)
1998,3.856,139660.0,SNB amarbma (SECO)
1999,2.723,98602.3,SNB amarbma (SECO)
2000,1.824,71987.3,SNB amarbma (SECO)
2001,1.702,67197.0,SNB amarbma (SECO)
2002,2.546,100504.1,SNB amarbma (SECO)
2003,3.691,145687.0,SNB amarbma (SECO)
2004,3.879,153091.3,SNB amarbma (SECO)
2005,3.763,148537.2,SNB amarbma (SECO)
2006,3.332,131532.3,SNB amarbma (SECO)
2007,2.766,109188.8,SNB amarbma (SECO)
2008,2.577,101725.1,SNB amarbma (SECO)
2009,3.701,146088.9,SNB amarbma (SECO)
2010,3.516,151985.9,SNB amarbma (SECO)
2011,2.843,122892.0,SNB amarbma (SECO)
2012,2.905,125593.8,SNB amarbma (SECO)
2013,3.158,136524.0,SNB amarbma (SECO)
2014,3.044,136763.8,SNB amarbma (SECO)
2015,3.178,142809.6,SNB amarbma (SECO)
2016,3.323,149317.0,SNB amarbma (SECO)
2017,3.088,143142.2,SNB amarbma (SECO)
2018,2.547,118103.1,SNB amarbma (SECO)
2019,2.307,106932.1,SNB amarbma (SECO)
2020,3.17,145719.8,SNB amarbma (SECO)
2021,2.993,137614.4,SNB amarbma (SECO)
2022,2.166,99576.7,SNB amarbma (SECO)
2023,1.983,93536.1,SNB amarbma (SECO)
2024,2.386,112563.0,SNB amarbma (SECO)
2025,2.838,133856.2,SNB amarbma (SECO)
