year,registrierte_arbeitslose_total,arbeitslosenquote_pct
1913,8290.8,0.456
1914,9793.2,0.536
1915,8956.5,0.488
1916,8466.8,0.459
1917,8109,0.438
1918,8111.5,0.436
1919,11295,0.603
1920,11539.5,0.613
1921,58466,3.018
1922,66995,3.431
1923,32605,1.693
1924,14692,0.767
1925,11090,0.578
1926,14118,0.732
1927,11824,0.612
1928,8380,0.433
1929,8131,0.418
1930,12881,0.659
1931,24208,1.228
1932,54366,2.71
1933,67867,3.353
1934,65440,3.23
1935,82468,4.027
1936,93009,4.509
1937,71130,3.477
1938,65583,3.208
1939,40324,1.993
1940,16374,0.817
1941,10550,0.527
1942,10675,0.528
1943,7846,0.385
1944,8380,0.408
1945,8107,0.391
1946,5479,0.262
1947,4093,0.194
1948,3524,0.166
1949,9172,0.427
1950,10709,0.494
1951,4500,0.205
1952,6062,0.271
1953,5800,0.256
1954,5127,0.223
1955,3342,0.143
1956,3560,0.15
1957,2527,0.105
1958,4048,0.166
1959,3128,0.126
1960,1690,0.067
1961,975,0.038
1962,832,0.032
1963,1014,0.038
1964,441,0.016
1965,473,0.017
1966,503,0.018
1967,488,0.017
1968,519,0.018
1969,343,0.012
1970,219,0.007
1971,199,0.007
1972,221,0.007
1973,183,0.006
1974,365,0.012
1975,11111,0.364
1976,21732,0.707
1977,12973,0.422
1978,11777,0.382
1979,11449,0.37
1980,7241,0.234
1981,7261,0.23
1982,15486,0.481
1983,30639,0.931
1984,38133,1.136
1985,33105,0.972
1986,28082,0.812
1987,28179,0.802
1988,24334,0.682
1989,17452,0.482
1990,18133,0.493
1991,39222,1.061
1992,92307,2.462
1993,163135,4.271
1994,171038,4.469
1995,153316,4.024
