year,months,registrierte_arbeitslose_jahresdurchschnitt,arbeitslosenquote_pct_jahresdurchschnitt
1984,12,35184.7,1.138
1985,12,30344.8,0.981
1986,12,25714.2,0.832
1987,12,24673.0,0.798
1988,12,22249.0,0.72
1989,12,17452.0,0.564
1990,12,18132.5,0.501
1991,12,39222.4,1.083
1992,12,92307.5,2.549
1993,12,163135.0,4.504
1994,12,171037.5,4.723
1995,12,153316.2,4.233
1996,12,168629.9,4.656
1997,12,188304.2,5.199
1998,12,139660.0,3.856
1999,12,98602.3,2.723
2000,12,71987.3,1.824
2001,12,67197.0,1.702
2002,12,100504.1,2.546
2003,12,145687.0,3.691
2004,12,153091.3,3.879
2005,12,148537.2,3.763
2006,12,131532.3,3.332
2007,12,109188.8,2.766
2008,12,101725.1,2.577
2009,12,146088.9,3.701
2010,12,151985.9,3.516
2011,12,122892.0,2.843
2012,12,125593.8,2.905
2013,12,136524.0,3.158
2014,12,136763.8,3.044
2015,12,142809.6,3.178
2016,12,149317.0,3.323
2017,12,143142.2,3.088
2018,12,118103.1,2.547
2019,12,106932.1,2.307
2020,12,145719.8,3.17
2021,12,137614.4,2.993
2022,12,99576.7,2.166
2023,12,93536.1,1.983
2024,12,112563.0,2.386
2025,12,133856.2,2.838
