year,gdppc_usd_2011prices
1851,2444.2261
1852,2445.8522
1853,2379.2795
1854,2263.8065
1855,2372.8492
1856,2419.271
1857,2785.7952
1858,2861.6667
1859,2894.2628
1860,2933.6306
1861,2948.3128
1862,2822.5136
1863,2879.0243
1864,2807.7928
1865,2792.1978
1866,2814.7017
1867,2746.0227
1868,3053.1145
1869,3041.0286
1870,2954.3765
1871,3063.7174
1872,3140.4869
1873,3320.8614
1874,3322.507
1875,3598.7723
1876,3851.9142
1877,3630.1878
1878,3485.837
1879,3509.2222
1880,3869.3663
1881,3943.4155
1882,3998.6616
1883,4194.2486
1884,4542.0941
1885,4772.8642
1886,5036.9908
1887,5172.1685
1888,5118.9012
1889,5137.3281
1890,5309.3205
1891,4937.0662
1892,5270.1859
1893,5339.8903
1894,5337.3121
1895,5632.3587
1896,5967.2451
1897,6241.8907
1898,6427.5088
1899,6337.3185
1900,6611.7782
1901,6398.8919
1902,6616.1545
1903,6472.24
1904,6879.5749
1905,7184.5797
1906,7584.0569
1907,7464.9794
1908,7507.7096
1909,7858.3589
1910,8048.3515
1911,8043.9415
1912,8311.7803
1913,8172.0601
1914,7595.2855
1915,7459.2589
1916,8079.4192
1917,7840.9039
1918,7115.6076
1919,6747.268
1920,7363.9596
1921,5999.1414
1922,7181.9535
1923,7670.2377
1924,8195.5206
1925,8385.2868
1926,8656.3311
1927,9259.9362
1928,9658.8139
1929,9920.0375
1930,9969.3241
1931,10055.4852
1932,9752.443
1933,10009.1086
1934,9997.3764
1935,9478.8078
1936,9301.8463
1937,10039.2922
1938,9608.57
1939,9836.1519
1940,9802.3731
1941,9217.3489
1942,8739.767
1943,8642.9729
1944,8890.7388
1945,8839.3153
1946,10866.0981
1947,11020.9506
1948,11189.3431
1949,10943.544
1950,11541.0376
1951,11877.8933
1952,12016.3082
1953,12470.9857
1954,13171.4063
1955,13999.4878
1956,14507.0602
1957,14667.6504
1958,14644.4583
1959,15469.5915
1960,16358.3594
1961,17307.5627
1962,17793.9765
1963,18437.8389
1964,19195.4465
1965,19802.5125
1966,20224.5382
1967,20742.2525
1968,21395.3864
1969,22307.6729
1970,23478.9918
1971,24486.9781
1972,25356.9109
1973,26003.7152
1974,25718.2704
1975,24467.9917
1976,24752.9073
1977,25430.5674
1978,26158.8003
1979,26641.095
1980,27405.7302
1981,27729.585
1982,27660.9485
1983,28009.3291
1984,28315.0826
1985,29416.7522
1986,30847.9943
1987,31774.3712
1988,32482.9077
1989,33315.5868
1990,34250
1991,34128.6419
1992,34356.8021
1993,34625.5336
1994,35423.8278
1995,36004.2299
1996,36720.4905
1997,38165.4774
1998,39890.5376
1999,41091.6369
2000,43251.1038
2001,44398.6388
2002,44934.3167
2003,45441.5993
2004,47263.5967
2005,49273.9024
2006,51862.9648
2007,54509.5397
2008,56054.8838
2009,55171.5007
2010,57219.4983
2011,58686
2012,58674
2013,59036
2014,59485
2015,59307
2016,59662
2017,60171.4429
2018,61372.7301
